,Rm,Rf,Rm - Rf,s/h,s/n,s/l,b/h,b/n,b/l,SMB,HML,s/lo,s/wi,b/lo,b/wi,MOM,s/w,s/m,s/r,b/w,b/m,b/r,RMW,SMBop,s/c,s/n,s/a,b/c,b/n,b/a,CMA,SMBinv,SMBff5
2020-01-01,-0.0016280928190489652,0.01557,-0.017198092819048966,0.027847917310212855,-0.005145011315001736,0.04521959918356626,0.02185830562518483,-0.02121497046938005,0.021457091642193407,0.015274026126926396,-0.00848523394518099,-0.03708021994844806,0.07714519195646447,0.021457091642193407,0.02185830562518483,0.05731331294395198,0.056407360595988026,0.006661457411806682,0.00031273766067173834,0.041547130279972116,-0.006748798733526462,-0.018261816954545002,-0.057951785084916704,0.015615013692188595,-0.014978983089870411,0.0276597637817201,0.04262450329588083,-0.03301849669391189,0.013740202936368498,0.027934423091792136,-0.059278203085727635,0.015549718217827255,0.015479586012314082
2020-02-01,-0.08411048363840312,0.01471,-0.09882048363840312,-0.09577500544989387,-0.019316556287827833,-0.02716003776532102,-0.035600206033315776,-0.05108255814973485,-0.05262729760766389,-0.0009805125707760681,-0.02579393805511236,-0.10858867473358011,0.06336925839277015,-0.05262729760766389,-0.035600206033315776,0.09449251235034918,-0.06545660726157282,-0.026887207379218632,-0.0469959959809471,-0.03837775131246334,-0.0392309138350372,-0.06625972137963615,-0.004710679393273541,0.0015095253017993748,-0.08878068552366515,-0.052209353619786764,0.011389515537316468,-0.05245413756030886,-0.04841513927064822,-0.03946671529786767,-0.0565788116617114,0.003578489507563107,0.0013691674128621378
2020-03-01,-0.12511928240892822,0.00041,-0.12552928240892822,-0.18061155509242227,-0.08759525001619131,-0.13341142318573068,-0.07380602124506244,-0.08366968382644464,-0.12246104001769166,-0.04056049440171518,0.000727443432968794,-0.18786424651869227,-0.08172169021106669,-0.12246104001769166,-0.07380602124506244,0.07739878754012738,-0.1522189101644297,-0.10473149243070846,-0.13807696323208415,-0.0984172991276733,-0.043317264479796266,-0.15372234276890162,-0.020581548354441398,-0.033190153150283716,-0.13111691244315457,-0.1307497343975713,-0.12315370284539541,-0.09985654729259262,-0.08555775504421331,-0.0937962615147895,-0.007011747687781136,-0.03526992861150864,-0.036340192054502514
2020-04-01,0.1268440381652789,0.00091,0.1259340381652789,0.22783005341750998,0.16664363406536836,0.19435642852672833,0.08892893269070577,0.12857433763894013,0.15730040202299336,0.07134214788565578,-0.017448922220752977,0.19131214413773223,0.19018437241661934,0.15730040202299336,0.08892893269070577,-0.03474962052670022,0.2589082566718875,0.16174857688522687,0.1700559967525468,0.1259294828837335,0.11262504683148197,0.14238348525567693,-0.03619912877369866,0.06992493844625625,0.1911745971458028,0.1803884602822391,0.21198058695969146,0.1413187226691636,0.09914992902458895,0.14565210089517563,-0.012569684019950372,0.06580763059960171,0.06902490564383791
2020-05-01,0.04528181966555822,0.00129,0.04399181966555822,0.05738364188172521,0.14445774211018847,0.1512768250855057,0.057209028513784024,0.07789772326793597,0.05482563952105683,0.0543952725915475,-0.04575489710552663,0.06130743414729,0.18522791515589218,0.05482563952105683,0.057209028513784024,0.0631519350006647,0.1245218283179888,0.12292408243415763,0.11395447512374632,0.10959006968841416,0.04754628047923129,0.044469672976940856,-0.0378438749528579,0.05326478757710215,0.09686135017450317,0.09067272061577385,0.1862706850157634,0.04683136011423987,0.0755585561486693,0.06844215470112405,-0.055510064714072216,0.06099089494733574,0.05621698503866179
2020-06-01,0.01838839651392421,0.00132,0.01706839651392421,0.0576265036052134,0.047289539943030395,0.029163637408612737,0.0006413529715422878,0.029256662751008262,0.045606108059881585,0.019525185724808127,-0.008250944445869317,0.01329088261784035,0.061219256620463985,0.045606108059881585,0.0006413529715422878,0.0014818094571421685,0.0605036536849565,0.02868251349073475,0.05205006241666361,0.025724863805762596,0.02091724726402659,0.0320694802076359,-0.0010544874332097942,0.02084154610497659,0.04952092811432195,0.07403695842148286,0.00023432577549308532,0.041505067661968834,0.009687593674006215,0.031838027476073255,0.02947682126236222,0.013587174499749857,0.01798463544317819
2020-07-01,0.055101321480443666,0.0009,0.05420132148044367,0.0772906128004612,0.06530993903120894,0.0903962571221799,0.02368866669043857,0.03899599397376659,0.09249821199445922,0.02593797876506189,-0.040957594812869674,0.08390431672851645,0.08230371949410038,0.09249821199445922,0.02368866669043857,-0.03520507126921836,0.06737179108269595,0.07488399465758729,0.08705869412649819,0.04252621143949056,0.05683921947520348,0.04895466270495615,0.01305767715463392,0.026998128749043747,0.04292882703323412,0.10133136343769894,0.07488222448042081,0.07004628560687104,0.010734120508576942,0.0799482537783099,-0.020927682809312773,0.019471251685865325,0.02413578639999032
2020-08-01,0.07006466690171775,0.00088,0.06918466690171775,0.04361873879517748,0.04521329523235089,0.05083873942907392,0.05670265446187103,0.047484157561336754,0.128161014644372,-0.030892351070325834,-0.03933918040819871,0.005975858931087754,0.10008608939331154,0.128161014644372,0.05670265446187103,0.01132593513986141,0.055203161843261656,0.01843906967358225,0.07632632100082325,0.09490846733937643,0.06487105746806567,0.06588103266524198,-0.003952137758286428,-0.02523066831833897,0.011487456769905138,0.07789566886193168,0.03771750412108055,0.048442656855287036,0.0736681430562621,0.09827354024357383,-0.03803046536973109,-0.031094570134068543,-0.029072529840911115
2020-09-01,-0.039227970178423055,0.00081,-0.04003797017842305,-0.05416109431682349,-0.028832446815121333,-0.0008153285214027755,-0.01620806548288625,-0.02996339965317034,-0.060315630353617235,0.007559408612108746,-0.004619100462344868,-0.00646096866850022,-0.039937572553334584,-0.060315630353617235,-0.01620806548288625,0.0053154804929483115,-0.04489642453231016,-0.02795104504854795,-0.011300400751940796,-0.040064801662547146,-0.0337269830146941,-0.03124777875030805,0.021206523346304226,0.0069638976982501315,-0.047367781051181404,-0.03344226712217332,-0.0012258136695882766,-0.026552324574417814,-0.0207941602114681,-0.05967630689780158,-0.006508992529104682,0.008328976613581496,0.007617427641313458
2020-10-01,-0.027665786221379718,0.00083,-0.02849578622137972,0.016119561619591032,-0.024112901135791447,0.010558486495431922,-0.022962664593961242,-0.034349106899127485,-0.01147709281274392,0.023784670428354717,-0.0029622483285291056,-0.03170531689221394,0.038207200617823685,-0.01147709281274392,-0.022962664593961242,0.029213472864410152,-0.015032468765298282,-0.011679530828759369,0.024495081070584512,0.013848942804457186,-0.052324212011921896,-0.023400093131908554,0.001139256949758527,0.019886147938633376,0.007021409406375283,-0.007183235224515466,-0.003784437168503689,-0.040977049164309706,-0.025382644681984413,-0.007271012267264335,-0.011450095161083198,0.02322814770897153,0.022299655358653206
